YEAR,AB,Hits,Doubles,Triples,Homeruns,BB,HBP,K,SB,CS,SAC,OBP,SLG,OPS,SBAperRFB,SB%,Runs Per Game,FLD%,DP,GIDP,GIDP/DP(league),DPperRFB,OF PutOuts/(IPouts-K),OF Assists/(IPouts-K),ERA,IPouts,WHIP,K:BB ratio,IPouts/GS,IPouts/RA,GB:FB,GB%,CG%,SHO per Win,SV per Win,Wild Pitches,Wild Pitches per IPout,Balks/IPouts,Passed Balls/IPouts,SF/(IPouts-K),Runs per 27 IPouts,BFP,BFP per 27 outs,Relief Appearances,Pickoffs per RFB,ERC,XBT,LF Assists per Ipout-K,CF Assists per Ipout-K,RF Assists per Ipout-K,C FLD,1B FLD,2B FLD,3B FLD,SS FLD,OF FLD,P FLD,LF FLD,CF FLD,RF FLD,DefEff Spread (Max - Min),BABIP Against Spread,PH AB per AB,Sac Bunt Success Rate,Position Player SAC Bunts,Estimated  OF AO percentage,Estimated IF AO percentage,Pitcher AB,P AB/Total AB,Position Player SAC/AB,Pitcher SAC/AB,SP ERA,RP ERA,Relief Appearances per 27 IPouts,Singles,Infield Swinging Singles NonBunt (estiamted 1871-1987),Bunt Singles (estimated 1871-1987),Infield Swinging Singles/Total Singles,Bunt Singles/Total Singles,MLB pBABIP,G
YEAR,AB,Hits,Doubles,Triples,Homeruns,BB,HBP,K,SB,CS,SAC,OBP,SLG,OPS,SBAperRFB,SB%,Runs Per Game,FLD%,DP,GIDP,GIDP/DP(league),DPperRFB,OF PutOuts/(IPouts-K),OF Assists/(IPouts-K),ERA,IPouts,WHIP,K:BB ratio,IPouts/GS,IPouts/RA,GB:FB,GB%,CG%,SHO per Win,SV per Win,Wild Pitches,Wild Pitches per IPout,Balks/IPouts,Passed Balls/IPouts,SF/(IPouts-K),Runs per 27 IPouts,BFP,BFP per 27 outs,Relief Appearances,Pickoffs per RFB,ERC,XBT,LF Assists per Ipout-K,CF Assists per Ipout-K,RF Assists per Ipout-K,C FLD,1B FLD,2B FLD,3B FLD,SS FLD,OF FLD,P FLD,LF FLD,CF FLD,RF FLD,DefEff Spread (Max - Min),BABIP Against Spread,PH AB per AB,Sac Bunt Success Rate,Position Player SAC Bunts,Estimated  OF AO percentage,Estimated IF AO percentage,Pitcher AB,P AB/Total AB,Position Player SAC/AB,Pitcher SAC/AB,SP ERA,RP ERA,Relief Appearances per 27 IPouts,Singles,Infield Swinging Singles NonBunt (estiamted 1871-1987),Bunt Singles (estimated 1871-1987),Infield Swinging Singles/Total Singles,Bunt Singles/Total Singles,MLB pBABIP,G
2013,57932,14953,2418,236,1311,5525,625,11574,1021,437,0,0.327,0.376,0.703,0.08,0.700274348,7.949037373,0.982,3983,,,,,,3.65,46379,1.32,2.094841629,26.26217441,6.607636415,1.0,47.0,0.059456399,0.045191194,0.457705678,,,,,0.01137768,4.086181246,47511,27.65900515,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.574883029,10988,,,,,,883
2014,58035,15123,2623,266,1361,5465,613,11951,1052,467,0,0.329,0.385,0.714,0.08,0.692560895,8.188914027,0.982,4084,,,,,,3.75,46378,1.33,2.186825252,26.23190045,6.406686006,1.0,47.0,0.056561086,0.052995392,0.467741935,,,,,0.01164783,4.21434732,47998,27.94311958,1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.590905171,10873,,,,,,884
2015,57285,14464,2445,252,1218,5309,568,11895,1026,492,0,0.32,0.368,0.688,0.08,0.675889328,7.488584475,0.982,3640,,,,,,3.42,45917,1.29,2.240534941,26.20833333,6.999542683,0.9,45.0,0.054223744,0.042973287,0.530778165,,,,,0.01066957,3.857394865,46973,27.62094649,1142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.671810005,10549,,,,,,876
2016,57762,14798,2417,269,1341,5456,591,12059,1021,424,0,0.325,0.377,0.702,0.08,0.706574394,7.988610478,0.982,3935,,,,,,3.68,46020,1.32,2.210227273,26.20728929,6.561163388,0.9,45.0,0.052961276,0.045348837,0.487209302,,,,,0.0105415,4.115123859,47653,27.95808344,1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.614569752,10771,,,,,,878
2017,57360,14370,2520,260,1500,5328,566,12654,845,364,0,0.319,0.382,0.701,0.08,0.698924731,7.975,0.982,3848,,,,,,3.67,45941,1.29,2.375,26.10284091,6.546166999,0.9,45.0,0.051704545,0.041666667,0.481481481,,,,,0.01015411,4.124551055,47665,28.0132126,1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.611218737,10090,,,,,,880
2018,57945,14855,2577,310,1681,5702,624,12470,1033,433,0,0.328,0.399,0.726,0.08,0.704638472,8.637400228,0.982,3864,,,,,,4.0,45997,1.34,2.186951947,26.22405929,6.072211221,0.9,45.0,0.048460661,0.047674419,0.484883721,,,,,0.01133415,4.44648564,48359,28.38648173,1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.611942083,10287,,,,,,877
2019,57729,14551,2510,251,1688,5744,633,13037,969,439,0,0.325,0.392,0.717,0.08,0.688210227,8.519406393,0.982,3906,,,,,,3.9,46009,1.32,2.269672702,26.26084475,6.164947072,0.9,45.0,0.027968037,0.031615925,0.483606557,,,,,0.01119131,4.379599644,48668,28.56041209,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60591406,10102,,,,,,876
2020,47563,11892,2075,217,1288,4920,483,10797,875,375,0,0.325,0.384,0.709,0.08,0.7,8.225895317,0.982,3292,,,,,,3.85,38046,1.33,2.194512195,26.20247934,6.370730074,0.9,45.0,0.037878788,0.036443149,0.479591837,,,,,0.01108298,4.238132787,40291,28.59320296,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.583701309,8312,,,,,,726
2021,56156,13809,2453,235,1449,5283,578,12603,863,408,0,0.315,0.375,0.691,0.08,0.678992919,7.470251716,0.982,3799,,,,,,3.55,45164,1.27,2.385576377,25.8375286,6.917445244,0.9,45.0,0.028604119,0.033810143,0.55396619,,,,,0.0119161,3.903175095,46749,27.94754672,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636679656,9672,,,,,,874
2022,56932,13900,2386,274,1304,4821,638,12509,916,462,0,0.309,0.364,0.673,0.08,0.664731495,7.116305587,0.982,3753,,,,,,3.27,45987,1.22,2.594689898,26.21835804,7.368530684,0.9,45.0,0.042759407,0.05,0.522093023,,,,,0.01063385,3.664231196,46559,27.33583404,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.659044947,9936,,,,,,877
2023,56955,13820,2385,222,1250,4884,616,12430,791,387,0,0.308,0.358,0.666,0.08,0.67147708,6.963511973,0.982,3802,,,,,,3.17,46031,1.22,2.545045045,26.24344356,7.53741608,0.9,45.0,0.041619156,0.047785548,0.540792541,,,,,0.01110086,3.582129435,46477,27.26160631,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.680411027,9963,,,,,,877
2024,56935,13832,2318,252,975,4556,568,11973,820,372,0,0.304,0.344,0.648,0.08,0.687919463,6.556947608,0.982,3820,,,,,,2.96,46132,1.2,2.627963126,26.27107062,8.01320132,0.9,45.0,0.047835991,0.047169811,0.529481132,,,,,0.01091952,3.369439868,45738,26.76940085,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.656973467,10287,,,,,,878
2025,57532,14053,2315,263,1096,4559,595,12475,921,381,0,0.305,0.351,0.655,0.08,0.707373272,6.577625571,0.982,3421,,,,,,3.01,46177,1.21,2.73634569,26.35673516,8.014057619,0.9,45.0,0.050228311,0.050410317,0.540445487,,,,,0.01124562,3.369079845,46479,27.17658141,1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67387444,10379,,,,,,876
