Year,C (PO+A+DP)/G,C (A+DP)/G,1B (PO+A+DP)/G,2B (PO+A+DP)/G,3B (PO+A+DP)/G,SS (PO+A+DP)/G,LF (PO+A+DP)/G,LF (A+DP)/G,CF (PO+A+DP)/G,CF (A+DP)/G,RF (PO+A+DP)/G,RF (A+DP)/G,OF FLD,P (PO+A+DP)/9ip,C FLD,1B FLD,2B FLD,3B FLD,SS FLD,OF FLD,P FLD
1959,5.12224,0.50729,8.97473,4.58998,3.11777,4.47882,1.36813,0.06793,1.63856,0.07437,1.56425,0.0715,0.978058439,4.7394,0.984921868,0.99306372,0.968886338,0.94802565,0.946135538,0.978058439,0.967664351
1960,4.92089,0.48373,8.97378,4.6775,2.86085,4.07327,1.25173,0.05847,1.7299,0.06055,1.48718,0.08432,0.980328926,4.68342,0.985625343,0.991324119,0.973087819,0.950573698,0.950987939,0.980328926,0.96868992
1961,4.69099,0.48997,8.46743,4.61357,3.07211,4.32605,1.24459,0.07342,1.66489,0.05719,1.47061,0.07488,0.978551445,4.89583,0.988181818,0.991566543,0.970022624,0.953956583,0.948619537,0.978551445,0.968237705
1962,4.79635,0.49197,8.45694,4.62482,2.84907,4.08321,1.34413,0.0583,1.73473,0.07485,1.54368,0.06041,0.981208472,5.01241,0.988926205,0.991650382,0.972785978,0.958456973,0.956919902,0.981208472,0.96559575
1963,4.27381,0.49384,8.39385,4.34196,2.95693,4.24443,1.52447,0.06357,1.87826,0.07174,1.50714,0.06349,0.985453223,5.03193,0.987015485,0.993224714,0.97397232,0.960549717,0.959322034,0.985453223,0.965509259
1964,4.27557,0.44635,8.78546,4.54835,2.95837,4.35248,1.6856,0.06749,1.67467,0.05841,1.49781,0.05908,0.98450295,4.91448,0.987987108,0.991993982,0.975672084,0.958385482,0.958957357,0.98450295,0.967414404
1965,4.43325,0.45564,9.04905,4.53111,2.70881,3.8404,1.52141,0.05352,1.70996,0.05898,1.43263,0.05825,0.984273218,4.9929,0.989778037,0.994808712,0.974790841,0.956543967,0.958232738,0.984273218,0.967491509
1966,4.52595,0.47915,8.67484,4.41101,2.56295,3.87353,1.46251,0.05806,1.60906,0.06269,1.38812,0.06998,0.984371967,4.96917,0.988112318,0.993331366,0.97508441,0.959842941,0.958559959,0.984371967,0.969719909
1967,4.91671,0.50299,8.77932,4.49108,2.45078,4.01842,1.32489,0.04257,1.62242,0.05191,1.45232,0.07047,0.984051037,4.80416,0.989680083,0.990761848,0.974652494,0.955787476,0.960315408,0.984051037,0.966268812
1968,4.97886,0.48493,8.48937,4.31091,2.6468,3.911,1.48378,0.06295,1.61676,0.0603,1.52954,0.07061,0.985482165,4.83395,0.988675485,0.991986582,0.976306125,0.953410982,0.960020904,0.985482165,0.968237438
1969,5.11512,0.47233,7.9652,4.53834,2.808,4.01531,1.47665,0.05945,1.73921,0.0572,1.64233,0.06887,0.985427687,4.78344,0.988693467,0.992179487,0.978271605,0.951651159,0.95736592,0.985427687,0.96816685
1970,4.94917,0.51259,7.70755,4.24938,2.6774,3.67461,1.49343,0.05662,1.7109,0.05574,1.55298,0.06121,0.988065884,4.88153,0.988000384,0.992462148,0.97864004,0.958564063,0.961395796,0.988065884,0.971359743
1971,4.65057,0.53883,8.59207,4.43917,2.48741,3.87377,1.61111,0.06052,1.77632,0.05558,1.47095,0.06232,0.987183194,4.88535,0.990181037,0.993018976,0.979727239,0.949168556,0.960302951,0.987183194,0.969267771
1972,4.60116,0.52323,8.90393,4.82274,2.59826,4.19008,1.60219,0.04895,1.85721,0.06277,1.6017,0.05897,0.986804633,4.83822,0.989863795,0.992527699,0.980310263,0.958604829,0.962256494,0.986804633,0.965832661
1973,4.49624,0.51457,8.71027,4.8147,2.58603,3.83034,1.58143,0.05261,1.93327,0.06402,1.53378,0.05248,0.987979177,4.82405,0.990450205,0.993405741,0.979193605,0.954912384,0.961728891,0.987979177,0.966865834
1974,4.41829,0.49118,9.04218,4.6297,2.68976,3.4884,1.48371,0.05664,1.81291,0.07115,1.58498,0.06413,0.986673199,5.09125,0.990205371,0.993106114,0.978454047,0.957894737,0.960673382,0.986673199,0.973105767
1975,4.25628,0.50024,8.6087,4.59469,2.72383,3.67147,1.50274,0.0637,1.96413,0.06808,1.63153,0.05851,0.987780991,4.92025,0.990282587,0.991923781,0.976718539,0.953822274,0.958080675,0.987780991,0.971087533
1976,4.52049,0.49561,8.77979,4.72097,2.67755,3.80368,1.65204,0.05334,1.7781,0.05933,1.48331,0.06193,0.985323089,4.66201,0.989593496,0.992598264,0.98079942,0.957148499,0.96754537,0.985323089,0.963575231
1977,4.65278,0.51138,8.25853,4.34252,2.67228,3.6903,1.51012,0.04724,1.8861,0.06515,1.54895,0.0532,0.987561698,4.64937,0.989052236,0.991610094,0.979145978,0.959620931,0.965535883,0.987561698,0.97366209
1978,4.36023,0.5075,8.37997,4.37075,2.61018,4.02587,1.43664,0.07024,2.00142,0.05629,1.6856,0.07535,0.986916951,4.67726,0.990586453,0.992460369,0.978854952,0.958650483,0.966346786,0.986916951,0.965861782
1979,4.74441,0.47406,8.72371,4.23814,2.53854,4.28624,1.45391,0.06187,1.69449,0.05938,1.44189,0.0516,0.984150005,4.67468,0.98784164,0.993776592,0.979329746,0.953966297,0.966662222,0.984150005,0.966611018
1980,4.76675,0.49783,8.27089,4.07098,2.623,4.22478,1.5279,0.05579,1.71456,0.05238,1.56734,0.05772,0.985806051,4.85949,0.990763297,0.993561548,0.977903888,0.953034826,0.962335958,0.985806051,0.971910112
1981,4.45902,0.48318,8.20482,4.48004,2.39281,4.35766,1.49945,0.05132,1.63606,0.04304,1.62806,0.06862,0.985450532,4.77497,0.98997761,0.99267723,0.981038161,0.959975242,0.967429693,0.985450532,0.969688769
1982,4.65685,0.48842,8.50453,4.83641,2.30919,4.53842,1.53867,0.04933,1.68586,0.0485,1.63555,0.06746,0.986349493,4.87975,0.990628905,0.993235127,0.983319433,0.953017145,0.972008853,0.986349493,0.966304059
1983,4.35587,0.48169,8.00431,4.64589,2.37367,4.50433,1.49363,0.05155,1.70469,0.05681,1.66464,0.07674,0.985404301,4.98348,0.988431182,0.992690433,0.980833733,0.958877285,0.96797292,0.985404301,0.96171875
1984,4.46096,0.50047,8.43756,4.64008,2.47569,4.19179,1.55036,0.05036,1.75609,0.04912,1.44651,0.06644,0.985726942,4.84244,0.988910013,0.994200867,0.982690058,0.955268817,0.968854431,0.985726942,0.964668094
1985,4.80551,0.50271,7.68918,4.24744,2.23325,4.27755,1.51088,0.03969,1.59884,0.04942,1.59496,0.06895,0.986306768,4.87913,0.989931162,0.992365918,0.981788843,0.953680913,0.966613882,0.986306768,0.964724746
1986,5.36177,0.50627,8.53584,4.62916,2.1977,4.18158,1.43865,0.04259,1.53762,0.04733,1.57223,0.05582,0.988511804,4.8769,0.991094863,0.993016489,0.983768116,0.946457052,0.968514532,0.988511804,0.968882979
1987,5.24354,0.50646,8.56072,4.74548,2.07146,4.1757,1.42187,0.042,1.60043,0.05043,1.61765,0.0638,0.988147224,4.72265,0.991617451,0.992426204,0.982792699,0.955727337,0.970383027,0.988147224,0.963981303
1988,5.12045,0.5119,8.72966,4.83223,2.25918,4.01611,1.4283,0.0493,1.72164,0.06578,1.63887,0.06139,0.987015643,4.92357,0.99065866,0.992725166,0.984763899,0.960793253,0.972639011,0.987015643,0.97036253
1989,5.11835,0.54312,8.74921,4.87258,2.25499,4.07344,1.26518,0.04624,1.66777,0.0595,1.56591,0.06343,0.98730858,4.86531,0.990447869,0.99324672,0.98552057,0.954688201,0.974661676,0.98730858,0.972972973
1990,5.08839,0.47097,8.03175,4.66381,2.15636,3.98414,1.35378,0.05271,1.6083,0.04973,1.50569,0.06721,0.987277354,4.72808,0.991350518,0.993334213,0.984417424,0.960495559,0.973307193,0.987277354,0.966446645
1991,5.27344,0.51253,8.79112,4.82697,2.21197,4.0503,1.31808,0.0492,1.65457,0.05816,1.41574,0.05051,0.988132485,4.5557,0.991935484,0.995033219,0.987238979,0.962803357,0.979092527,0.988132485,0.968169014
1992,5.83472,0.51496,8.94592,4.96372,2.13507,4.01626,1.30092,0.03694,1.63079,0.06093,1.47513,0.06736,0.988074774,4.56401,0.99339934,0.993404999,0.985819828,0.952380952,0.972739541,0.988074774,0.974542334
1993,6.10049,0.56798,8.87825,4.9697,2.11307,4.22689,1.37246,0.04695,1.53808,0.05774,1.50469,0.05787,0.98596567,4.14791,0.994944141,0.994834988,0.9886446,0.959915114,0.97582326,0.98596567,0.972353126
1994,5.74314,0.50588,8.77802,4.55761,2.16239,4.30582,1.48087,0.05067,1.60417,0.04984,1.58221,0.05092,0.98549212,3.99109,0.993974867,0.994298746,0.987427351,0.961162735,0.97799379,0.98549212,0.969558101
1995,5.7847,0.51275,8.37454,4.41357,2.24021,4.18502,1.44578,0.0436,1.69895,0.06752,1.56893,0.06554,0.989229321,4.04071,0.993430237,0.99433886,0.986192312,0.962700661,0.975261375,0.989229321,0.959131545
1996,5.77515,0.53143,8.07716,4.81498,2.07289,4.28035,1.57581,0.05364,1.8096,0.06097,1.58787,0.06998,0.986814784,4.33503,0.993265426,0.993434716,0.985041487,0.956098719,0.975336323,0.986814784,0.964839094
1997,5.3326,0.52285,7.70174,4.82854,2.17723,4.31831,1.53542,0.06651,1.74521,0.0599,1.48726,0.05218,0.98661511,4.24969,0.991057382,0.992846193,0.985022126,0.960529267,0.979449182,0.98661511,0.965852223
1998,5.24664,0.50716,7.98152,4.53195,2.10041,4.57212,1.43775,0.0498,1.8483,0.06888,1.59964,0.06321,0.98501725,4.08201,0.993127148,0.992662954,0.986843585,0.957824639,0.977427822,0.98501725,0.962736714
1999,5.79138,0.53388,8.36909,4.45492,1.92012,4.31267,1.44398,0.05187,1.70927,0.05676,1.43638,0.05517,0.987309121,4.2184,0.993271091,0.992887003,0.985264112,0.958750874,0.975900277,0.987309121,0.964768056
2000,5.67348,0.48165,7.88152,4.45875,2.06685,4.14156,1.42931,0.03992,1.72152,0.05157,1.41763,0.05174,0.98683119,3.95844,0.993903946,0.993560316,0.984928579,0.961169484,0.974959829,0.98683119,0.960137029
2001,5.7202,0.52587,7.98862,4.7212,2.11519,4.29659,1.41203,0.04069,1.63946,0.04873,1.46071,0.04847,0.987933327,4.14083,0.993107819,0.994118368,0.987932335,0.960393824,0.976580206,0.987933327,0.961995938
2002,6.20833,0.5,7.97083,4.31062,1.96062,4.0925,1.40601,0.04449,1.45547,0.04453,1.51685,0.05695,0.988610963,4.05213,0.99456402,0.993345656,0.986874859,0.96041716,0.978966502,0.988610963,0.96410709
2003,6.05955,0.47318,8.06494,4.29896,1.8144,4.39843,1.48464,0.06086,1.51768,0.05225,1.50629,0.05416,0.982233766,3.86541,0.993595057,0.994482413,0.985245174,0.955072464,0.97750309,0.982233766,0.962264151
2004,6.34701,0.49131,8.36556,4.41736,1.98682,4.63867,1.50318,0.05019,1.47882,0.04537,1.52143,0.04938,0.988237857,3.86829,0.994634782,0.992489965,0.986038999,0.954510209,0.979661879,0.988237857,0.961451976
2005,6.26138,0.45706,8.21898,4.71597,2.04276,4.4785,1.47118,0.03981,1.6158,0.04922,1.57877,0.07111,0.988163306,3.51059,0.994649586,0.993621229,0.987749015,0.958597977,0.982089552,0.988163306,0.964079973
2006,6.25308,0.52085,8.48376,4.63375,2.0048,4.75578,1.48829,0.05886,1.66081,0.05806,1.53618,0.04983,0.986601705,3.99647,0.993530218,0.993200277,0.984853299,0.956427015,0.977469249,0.986601705,0.967904903
2007,6.03285,0.49361,8.4361,5.01414,2.05335,4.53527,1.40562,0.04131,1.62094,0.05175,1.56431,0.04417,0.988496628,4.01701,0.992578569,0.993695227,0.98823408,0.959589194,0.978650726,0.988496628,0.965487735
2008,5.91596,0.51667,7.78189,5.12136,1.92543,4.39681,1.48115,0.04173,1.64515,0.04079,1.50893,0.05411,0.987955376,3.95593,0.994190871,0.994729489,0.987470714,0.956116417,0.976665835,0.987955376,0.963048499
2009,6.05205,0.53247,7.78982,5.12998,2.00412,4.85798,1.43965,0.04556,1.57394,0.04799,1.48349,0.0426,0.986338798,4.06229,0.994088087,0.993200963,0.986457807,0.959202596,0.982090997,0.986338798,0.96495195
2010,6.16232,0.48331,7.33535,5.19022,2.15377,4.60113,1.48654,0.04274,1.6192,0.04642,1.53082,0.03536,0.986428432,3.98079,0.993316501,0.992670289,0.986621385,0.954956994,0.977137914,0.986428432,0.96598056
2011,5.80448,0.5167,7.32214,5.13162,2.09295,4.40814,1.47239,0.05171,1.67909,0.05247,1.40855,0.04377,0.989311164,4.28167,0.993548877,0.993937879,0.988271023,0.961821527,0.978417266,0.989311164,0.968249733
2012,5.43035,0.54299,7.3745,5.10109,1.96726,4.29321,1.52386,0.05716,1.62496,0.04312,1.46727,0.04345,0.987434757,4.38192,0.993245928,0.994270435,0.985636253,0.958495758,0.976835396,0.987434757,0.966978679
2013,5.70299,0.54188,7.63039,4.78369,1.9736,4.19308,1.53842,0.05246,1.64698,0.04705,1.43,0.05235,0.987929703,4.2265,0.993749529,0.993529059,0.985210697,0.960526316,0.977876106,0.987929703,0.970588235
2014,5.81091,0.58714,7.33776,5.37341,1.81365,4.2132,1.48493,0.05205,1.55833,0.039,1.54102,0.04328,0.983922518,4.13462,0.993551696,0.993385521,0.98470153,0.959390863,0.977983488,0.983922518,0.969822813
2015,5.99303,0.61542,7.63597,4.97868,1.96947,4.37438,1.42714,0.04484,1.54784,0.04248,1.41429,0.03683,0.988291107,4.15753,0.99255257,0.992536861,0.986314152,0.961911357,0.975694444,0.988291107,0.962403952
2016,6.01352,0.60576,7.85377,4.93973,1.95764,4.54363,1.44283,0.0356,1.63271,0.04354,1.4247,0.04518,0.98817943,4.05467,0.993955284,0.993499787,0.986299959,0.953004971,0.976761526,0.98817943,0.96874112
2017,5.99076,0.55859,7.3826,4.35936,1.98598,4.57897,1.51395,0.04092,1.58939,0.03375,1.40947,0.0327,0.988859088,3.95341,0.995425113,0.993697993,0.987988644,0.955152672,0.978296121,0.988859088,0.961061436
2018,5.88198,0.59383,7.78257,4.50444,1.86721,4.54509,1.39351,0.04018,1.63136,0.04923,1.42716,0.04813,0.98752662,3.84835,0.994234465,0.994017765,0.986132178,0.961337761,0.979534314,0.98752662,0.96555855
2019,6.05802,0.63004,7.84864,4.65207,1.82415,3.98214,1.46417,0.03032,1.51852,0.04111,1.38217,0.03826,0.988368534,3.82192,0.994338336,0.994720497,0.985135433,0.955503513,0.975380711,0.988368534,0.961038961
2020,6.10251,0.62714,7.42382,4.37587,1.76586,4.03143,1.45052,0.03906,1.38134,0.03475,1.30791,0.04029,0.985609726,3.94353,0.994543651,0.993070402,0.986754967,0.959111111,0.979826195,0.985609726,0.963842609
2021,6.04898,0.61627,6.72155,4.14123,1.7439,3.86191,1.40395,0.0371,1.51367,0.03822,1.40716,0.04898,0.988173711,3.72082,0.995747094,0.992791988,0.98575432,0.965569239,0.976148767,0.988173711,0.969441846
2022,6.29515,0.70529,7.1759,4.38277,1.82949,4.12819,1.51184,0.04432,1.67538,0.04381,1.35651,0.04433,0.988669625,3.83922,0.994645248,0.994000375,0.986804687,0.961473225,0.978034986,0.988669625,0.960942159
2023,6.25123,0.6393,7.62639,4.59991,1.7674,4.17425,1.55382,0.04462,1.69345,0.03706,1.50458,0.03785,0.988779674,3.73204,0.995171171,0.993684342,0.986648715,0.950394867,0.979691517,0.988779674,0.963316893
2024,6.27306,0.68753,7.65865,4.74603,1.91515,4.32524,1.56864,0.04913,1.71462,0.03654,1.67856,0.04102,0.989440716,3.59681,0.996136988,0.994328098,0.986256899,0.954161641,0.981227803,0.989440716,0.958982512
2025,6.38409,0.65249,7.55753,4.40515,1.84689,3.89517,1.55066,0.04172,1.87875,0.0269,1.7139,0.03633,0.987435852,3.34817,0.995686867,0.992827869,0.989002357,0.961967054,0.979825151,0.987435852,0.961761693
