old_lahmanID,new_lahmanID
dsukoxx01,scottda01
roorexx01,ohlenro01
jhaasxx02,hurstji01
bbarixx01,bullibr01
dmaruxx01,martido01
kmencxx01,menchke01
bmitcxx01,mitchbo01
jpiitxx01,peterja01
skuurxx01,coolbsc01
harumxx01,almonhe01
mhoruxx01,holtzmi01
atorexx01,tracyan01
lboitxx01,voitlu01
jhaatxx01,hardtja01
ejanxx01,yanes01
hkaraxx01,carrahe01
wchenxx01,chambwe01
bmanyxx01,manueba01
bribexx01,riverbe01
bgaruxx01,galveba01
mmakuxx01,mcguimi01
akyanxx01,candeal01
msumixx01,smithma01
troozxx01,rhodetu01
jmiraxx02,milleju01
bkuraxx01,klausbi01
lgaruxx01,garcilu01
khimexx01,jimenke01
mwatoxx01,watsoma02
kgaruxx01,garcika01
jbeirxx02,baylijo01
jwazuxx01,wasdijo01
luoorxx01,wallsle01
sdeebxx01,davissc01
lfanmxx01,vanmilo01
kmaraxx01,mulleky01
amachxx01,machaan01
gmaacxx01,martige01
lkaatxx01,cartela01
vharixx01,harrivi01
mjonsxx01,johnsma01
oromaxx01,romanor01
sramixx01,ramirsa01
jbaraxx01,balleja01
cruisxx01,lewisch01
jkoroxx01,koronjo01
jtaamxx01,turmaja01
tanroxx01,unroeti01
eteemxx01,thameer01
mwatoxx02,watsoma01
bbeisxx01,bathebi01
agaadxx01,gardnar01
dsupexx01,spencda01
wasutxx01,astudwi01
dparexx01,parendi01
zuiirxx01,wheelze01
bdeiexx01,dayetbr01
mguuixx01,gwynma01
bkurixx01,chrisbo01
lkasuxx02,castilu01
mniebxx01,nieveme01
jrisuxx01,lisjo01
bbankxx01,banksbr01
jtorexx03,tolenjo01
ssutoxx01,stroust01
mdankxx01,duncama01
bpinkxx01,pinckbi01
ctorexx01,tracych01
toosuxx01,austity01
mjonsxx02,johnsmi01
rramixx01,ramirro01
nmoogxx01,morgany01
jgusuxx01,guzmajo01
dmeixx01,mayda01
mburaxx03,brownma01
cbeirxx01,baileco01
ekyanxx01,campber01
lterexx01,terrelu01
jbottxx01,bottsja01
thaanxx01,hearnta01
hnoosxx01,northhe01
yperexx01,perezyo01
earauxx01,araujel01
aerunxx01,hernaan01
rarukxx01,alcanra01
lorutxx01,ortizlu01
mdeyuxx01,dupremi01
mdaamxx01,dermoma01
jburixx02,briggjo01
jbooaxx01,bourju01
cmaatxx01,martich01
creixx01,reaco01
dneirxx01,naylodr01
nmincxx01,minchna01
fkasuxx01,kostrfr01
buirixx02,willibr01
creisxx01,lathach01
eorumxx01,olmosed01
wuirixx01,williwa01
pgonzxx01,gonzapa01
jshuwxx01,schwaje01
aguruxx01,grunwal01
nraakxx01,larkeno01
npayaxx01,payanne01
dreesxx01,rajsida01
rjonsxx01,johnsra01
cmagixx01,mcgehca01
osaraxx01,salazos01
bgibuxx02,givenbr01
lbaanxx01,barnela01
thatcxx01,hatchth01
bkasuxx01,castibo01
cmeixx01,mayca01
cbaruxx02,valdeca01
earufxx01,alfoned01
ymendxx01,mendeyo01
mtonkxx01,tonkimi01
jmaraxx01,malavjo01
jfuroxx01,florejo01
duittxx01,whitmda01
eyangxx01,younger01
cokusxx01,oxsprch01
abaruxx02,baldoal01
bmadoxx01,madlobi01
duesuxx01,westda01
mpeitxx01,paytoma01
brodoxx02,rodribr01
