playerID,yearID,stint,Glf,Gcf,Grf
akashke01,2016,1,2,,
akashke01,2017,1,,,2
akashke01,2018,1,2,,
akashke01,2019,1,4,,
akashke01,2020,1,,,2
casteal01,2015,1,5,,
quesaal01,1998,1,2,4,6
akihiyu01,2023,1,74,,13
akihiyu01,2024,1,5,,
akihiyu01,2025,1,16,,
akihiyu01,2025,2,1,,
akimoyu01,1967,1,1,,
akimuno01,1992,1,,,4
akimuno01,1995,1,1,1,
akiyako01,1984,1,,21,
akiyako01,1985,1,,18,
akiyako01,1985,2,,1,
akiyako01,1986,1,,30,
akiyako01,1986,2,,2,
akiyako01,1987,1,,130,
akiyako01,1988,1,,130,
akiyako01,1988,2,,2,
akiyako01,1989,1,,122,
akiyako01,1989,2,,1,
akiyako01,1990,1,,124,
akiyako01,1990,2,,1,
akiyako01,1991,1,,116,
akiyako01,1991,2,,1,
akiyako01,1992,1,,129,
akiyako01,1992,2,,2,
akiyako01,1993,1,,126,
akiyako01,1993,2,,2,
akiyako01,1994,1,,129,
akiyako01,1994,2,,2,
akiyako01,1995,1,,114,
akiyako01,1995,2,,2,
akiyako01,1996,1,,120,
akiyako01,1996,2,,3,
akiyako01,1997,1,,92,
akiyako01,1998,1,,,114
akiyako01,1998,2,,,1
akiyako01,1999,1,,3,106
akiyako01,1999,2,,,1
akiyako01,2000,1,,,123
akiyako01,2000,2,,,2
akiyako01,2001,1,,,75
akiyako01,2001,2,,,2
akiyako01,2002,1,,2,65
akiyako01,2002,2,,,1
akiyano01,1960,1,,1,1
akiyano01,1963,1,,,1
akiyano01,1965,1,1,,
akiyash01,2011,1,,34,51
akiyash01,2012,1,,89,15
akiyash01,2013,1,,144,
akiyash01,2014,1,,127,
akiyash01,2015,1,,143,
akiyash01,2015,2,1,1,
akiyash01,2016,1,,143,
akiyash01,2016,2,,1,
akiyash01,2017,1,,143,
akiyash01,2017,2,,,2
akiyash01,2018,1,,143,
akiyash01,2018,2,,1,
akiyash01,2019,1,,143,
akiyash01,2019,2,,1,
akiyash01,2022,1,1,37,2
akiyash01,2023,1,,110,4
akiyash01,2023,2,,2,
akiyash01,2024,1,13,121,
akiyash01,2024,2,,1,
akiyash01,2025,1,5,16,8
akiyash02,1973,1,,,1
akiyash02,1975,1,1,,
akiyash02,1976,1,1,1,
amakase01,1939,1,,,1
amamika01,1968,1,,,4
amaruxx01,2022,1,58,,
amayaso01,2004,1,,2,
amayaso01,2006,1,1,1,
amayaso01,2007,1,,6,
amayaso01,2008,1,34,61,
amayaso01,2009,1,,17,67
amayaso01,2010,1,2,75,
amayaso01,2011,1,22,15,
amayaso01,2012,1,46,41,1
amayaso01,2013,1,8,,
amayaso01,2014,1,2,,20
amayaso01,2015,1,2,,1
amayaso01,2016,1,3,,11
amayaso01,2017,1,2,,
amayaso01,2018,1,,1,
anabuyo01,1957,1,2,77,
anabuyo01,1958,1,102,,
anabuyo01,1959,1,101,,
anabuyo01,1960,1,123,,
anabuyo01,1961,1,85,1,7
anabuyo01,1962,1,38,,34
anabuyo01,1963,1,7,,7
anabuyo01,1964,1,5,1,6
anabuyo01,1965,1,5,,
anabuyo01,1966,1,13,1,5
anabuyo01,1967,1,3,,
andoha01,1964,1,3,,1
andois01,1965,1,,4,2
andoju01,1966,1,1,1,6
andoju01,1967,1,,5,
andoju01,1970,1,,,2
andoma01,1994,1,,3,4
andoma01,1995,1,,3,2
andomo01,1963,1,,,2
andoumo01,1965,1,3,17,
andoumo01,1966,1,1,20,2
andoyu01,2009,1,,,4
animalk01,1987,1,4,,
aniyaso01,1965,1,,1,
aniyaso01,1966,1,,,2
aoika01,1992,1,,1,
aokiha01,2010,1,1,,
aokihi02,1961,1,1,1,2
aokiko01,1936,1,,11,
aokiko01,1937,1,6,,3
aokiko01,1938,1,14,,3
aokiko01,1939,1,12,,
aokimi01,1976,1,,2,6
aokimi01,1978,1,,2,
aokimi01,1979,1,1,3,
aokimi01,1980,1,,2,1
aokimi01,1981,1,,67,2
aokimi01,1982,1,3,14,13
aokimi01,1983,1,1,2,1
aokimi01,1984,1,1,,1
aokino01,2004,1,,2,
aokino01,2005,1,,143,
aokino01,2006,1,,146,
aokino01,2006,2,,1,1
aokino01,2007,1,,143,
aokino01,2007,2,,2,
aokino01,2008,1,,112,
aokino01,2008,2,,2,
aokino01,2009,1,6,135,
aokino01,2009,2,,2,
aokino01,2010,1,,143,
aokino01,2010,2,,2,
aokino01,2011,1,,144,
aokino01,2011,2,,3,
aokino01,2018,1,,127,
aokino01,2018,2,,2,
aokino01,2019,1,18,111,
aokino01,2020,1,99,,
aokino01,2021,1,119,,
aokino01,2022,1,60,,
aokino01,2023,1,55,,
aokino01,2024,1,4,1,16
aokish01,1939,1,,,1
aokita01,2007,1,,1,3
aokita02,1960,1,,1,
aonota02,2006,1,3,,
aonota02,2007,1,9,,
aonota02,2012,1,1,,
aotano01,1942,1,18,1,
aotano01,1943,1,81,,
aotano01,1946,1,86,4,5
aotano01,1947,1,,111,5
aotano01,1948,1,,140,
aotano01,1949,1,,134,
aotano01,1950,1,,136,
aotano01,1951,1,,113,
aotano01,1951,2,3,,
aotano01,1952,1,,111,
aotano01,1952,2,,2,
aotano01,1953,1,,104,
aotano01,1954,1,,111,11
aotano01,1955,1,,99,
aotano01,1956,1,,14,116
aotano01,1957,1,,,127
aotano01,1958,1,,,63
aotano01,1959,1,,,35
aoyamhi01,1979,1,,,1
aoyamhi01,1986,1,1,2,
aoyamhi03,1954,1,,47,
aoyamhi03,1955,1,10,4,7
aoyamhi03,1956,1,25,3,27
aoyamhi03,1957,1,4,19,2
aoyamhi03,1958,1,1,2,1
aoyamka01,1961,1,,,1
aoyamka01,1962,1,,,1
aoyamko01,2006,1,1,,
aoyammi02,1984,1,,1,
aoyammi02,1985,1,,2,2
aoyammi02,1989,1,1,,
aoyammi02,1990,1,,2,3
aoyammi02,1992,1,,1,
powelal01,1992,1,5,47,18
powelal01,1993,1,,96,1
powelal01,1994,1,,110,
powelal01,1994,2,1,,
powelal01,1995,1,,76,23
powelal01,1996,1,,,130
powelal01,1996,2,,1,
powelal01,1997,1,,,75
powelal01,1998,1,47,,
pointaa01,1970,1,,116,
pointaa01,1971,1,,40,
pointaa01,1972,1,,9,12
araiha01,1940,1,,2,3
araihi01,1975,1,14,29,
araihi01,1976,1,3,98,5
araihi01,1977,1,10,101,2
araihi01,1978,1,9,24,54
araihi01,1979,1,16,49,35
araihi01,1980,1,9,35,26
araihi01,1981,1,8,90,1
araihi01,1982,1,11,89,
araihi01,1983,1,2,128,
araihi01,1984,1,112,1,
araihi01,1985,1,51,23,
araihi01,1986,1,,130,
araihi01,1987,1,,128,
araihi01,1987,2,,1,
araihi01,1988,1,23,47,
araihi01,1988,2,,1,
araihi01,1989,1,22,77,
araihi01,1989,2,,1,
araihi01,1990,1,26,47,
araihi01,1991,1,18,37,5
araihi01,1991,2,,1,1
araihi01,1992,1,10,25,29
araima01,1976,1,1,,3
araima01,1977,1,,,1
araino01,2002,1,,,2
arairy01,2007,1,1,,
arairy01,2011,1,3,,
arairy01,2012,1,16,,6
arairy01,2014,1,,,8
arairy01,2015,1,1,,2
arairy01,2016,1,5,,
araish02,1955,1,,,7
araish02,1956,1,1,1,27
araish02,1957,1,43,,23
araish02,1958,1,3,1,10
araita01,1999,1,,,2
araita01,2001,1,,,30
araita03,1953,1,29,12,
araita03,1954,1,11,8,2
araita03,1955,1,85,,6
araiyo01,1970,1,1,,
araiyo01,1975,1,,,1
araiyo01,1977,1,,,2
araiyu01,1986,1,3,,1
araiyu01,1987,1,44,50,
araiyu01,1988,1,27,33,
